lemma,belongings,clothing_items,edibles,enclosures_and_vehicles,geographical_locations,institutions,nonsense_words,organisations_and_events,persons,platforms_and_floors,spatial_directions,spatial_region,time_expressions,vegetative_enclosure
erikoolis,0.0,0.0,0.0,5.0,4.0,5.0,5.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0
eskalaatorist,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0
habemikult,0.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
härrasrahvas,0.0,0.0,0.0,,,,5.0,,0.0,0.0,0.0,0.0,0.0,0.0
imaveres,0.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0
isakodus,0.0,0.0,0.0,5.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
joobeseisundis,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
juveelipoest,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0
kahinas,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kallaletungis,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kanuumatkale,0.0,0.0,0.0,5.0,2.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
keemialaboris,0.0,0.0,1.0,4.0,0.0,5.0,4.0,1.0,1.0,0.0,4.0,4.0,0.0,0.0
kindlustatult,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
kodustaadionil,0.0,0.0,0.0,5.0,5.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
kontekstis,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kontoriruumis,0.0,0.0,0.0,5.0,0.0,5.0,5.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0
kontrollmängus,0.0,0.0,0.0,5.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
korraldamises,0.0,0.0,0.0,0.0,1.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
kuluaarides,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kuuldemängus,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lahingutegevuses,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laristamisest,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lastehommikule,0.0,0.0,1.0,5.0,2.0,3.0,5.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0
leivatootmises,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lennusadamas,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,3.0,0.0,0.0,0.0
linnamisjonis,0.0,0.0,0.0,5.0,4.0,5.0,5.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0
linnarahval,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
linnavaraametile,0.0,0.0,0.0,2.0,0.0,5.0,5.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0
lootusetuses,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
luurekeskusele,0.0,0.0,0.0,5.0,2.0,5.0,5.0,5.0,0.0,4.0,5.0,0.0,0.0,0.0
lössis,3.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
maailmas,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0
mardipäeval,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0
messikeskuses,0.0,0.0,1.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,1.0,0.0
metsasügavustest,0.0,0.0,0.0,1.0,5.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
moenädalalt,0.0,0.0,1.0,5.0,0.0,5.0,5.0,5.0,0.0,0.0,5.0,0.0,3.0,0.0
munakividest,0.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0
mänguminutil,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
naftariigil,0.0,0.0,0.0,4.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
olukorrale,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ootel,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
ooteruumis,0.0,0.0,0.0,5.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
osoonikihist,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
parlamendilt,0.0,0.0,0.0,2.0,0.0,5.0,5.0,5.0,0.0,2.0,5.0,0.0,1.0,0.0
patareidest,2.0,0.0,0.0,3.0,3.0,3.0,5.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0
perele,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pingutusele,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
presidendiajast,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
pronksikohal,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
põhivormile,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pöördtoolilt,5.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
püsitööle,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
rahvuslikkuses,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rambivalgusesse,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
revüteatrile,,,,,3.0,,,,,,,,,
revüüteatrile,0.0,0.0,0.0,4.0,,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
ristilöömisele,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,,0.0,0.0,0.0,5.0,0.0
sisemaal,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0
skeemile,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
suusapäeval,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0
sõidurajal,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
süüdistuses,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
taastamisele,0.0,0.0,0.0,1.0,1.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
taktimõõdus,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
taliolümpial,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,0.0,0.0,1.0,0.0,5.0,0.0
talvepäeval,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
tootmishoones,0.0,0.0,1.0,5.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,4.0,0.0,1.0
turneel,0.0,0.0,0.0,0.0,5.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0
turvamisel,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
töökätest,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
töölaual,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
vahepial,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
veefestivalil,0.0,0.0,0.0,5.0,1.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0
vändras,0.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
win-s,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
õhtuses,0.0,3.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,4.0,0.0
ümbrisel,5.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
