input,model,semantic_class,response
"põhivorm
peasaal
zoloogia
biokeskus
sõjaretk
ravivõimlem
kuulirahe
muuseumiöö
jääpank
Williams",gpt-35-turbo,nonsense_words,"{
  ""põhivorm"": 1,
  ""peasaal"": 1,
  ""zoloogia"": 1,
  ""biokeskus"": 1,
  ""sõjaretk"": 1,
  ""ravivõimlem"": 1,
  ""kuulirahe"": 1,
  ""muuseumiöö"": 1,
  ""jääpank"": 1,
  ""Williams"": 0
}"
"taastamine
element
vaegarenguala
lihas
spagaat
politseiaed
tlns
heliagedus
vokaalstuudio
võõrusetendus",gpt-35-turbo,nonsense_words,"{
    ""taastamine"": 1,
    ""element"": 1,
    ""vaegarenguala"": 0,
    ""lihas"": 1,
    ""spagaat"": 1,
    ""politseiaed"": 0,
    ""tlns"": 0,
    ""heliagedus"": 0,
    ""vokaalstuudio"": 0,
    ""võõrusetendus"": 0
}"
"arvutimonitor
ootepink
mihklikuu
moenädal
tantsumaraton
rahvusooper
luurekeskus
järvesuu
KHK
kambja",gpt-35-turbo,nonsense_words,"{
    ""arvutimonitor"": 1,
    ""ootepink"": 0,
    ""mihklikuu"": 0,
    ""moenädal"": 1,
    ""tantsumaraton"": 0,
    ""rahvusooper"": 1,
    ""luurekeskus"": 1,
    ""järvesuu"": 1,
    ""KHK"": 0,
    ""kambja"": 0
}"
"kontsaklõbin
jane
Laenutuspunkt
sisemaa
Toronto
ciel
Bråtveiti
talvepäev
küün
randmeoperatsioon",gpt-35-turbo,nonsense_words,"{""kontsaklõbin"": 1}
{""jane"": 1}
{""Laenutuspunkt"": 1}
{""sisemaa"": 1}
{""Toronto"": 1}
{""ciel"": 0}
{""Bråtveiti"": 0}
{""talvepäev"": 1}
{""küün"": 1}
{""randmeoperatsioon"": 1}"
"padaja
Saksa
näitlejatee
Surfer
motoüritus
meka
kahin
rahvuslikkus
Smuuli
vägivallaähvardus",gpt-35-turbo,nonsense_words,"{
  ""padaja"": 0,
  ""Saksa"": 1,
  ""näitlejatee"": 1,
  ""Surfer"": 1,
  ""motoüritus"": 1,
  ""meka"": 1,
  ""kahin"": 0,
  ""rahvuslikkus"": 1,
  ""Smuuli"": 1,
  ""vägivallaähvardus"": 1
}"
"protestimarss
60C
Leida
väljaõpe
estraadistuudio
lossikirik
lootusetus
olümpiahooaeg
Ehlvest
meditsiiniringkond",gpt-35-turbo,nonsense_words,"{
    ""protestimarss"": 1,
    ""60C"": 0,
    ""Leida"": 1,
    ""väljaõpe"": 1,
    ""estraadistuudio"": 1,
    ""lossikirik"": 1,
    ""lootusetus"": 1,
    ""olümpiahooaeg"": 1,
    ""Ehlvest"": 1,
    ""meditsiiniringkond"": 1
}"
"jääliustik
Halonen
kitsus
noorsoolikas
banaanivabariik
slaidiprojektor
Kozlov
estraadilava
jkodu
superseksikas",gpt-35-turbo,nonsense_words,"{
    ""jääliustik"": 1,
    ""Halonen"": 1,
    ""kitsus"": 1,
    ""noorsoolikas"": 1,
    ""banaanivabariik"": 1,
    ""slaidiprojektor"": 1,
    ""Kozlov"": 0,
    ""estraadilava"": 1,
    ""jkodu"": 0,
    ""superseksikas"": 1
}"
"anatoomikum
semiootika
vuuk
presidendiaeg
tänavakivi
nyd
omavalitsusvalimine
konfliktikolle
metallilagu
elektrienergeetika",gpt-35-turbo,nonsense_words,"{
    ""anatoomikum"": 1,
    ""semiootika"": 1,
    ""vuuk"": 1,
    ""presidendiaeg"": 1,
    ""tänavakivi"": 1,
    ""nyd"": 0,
    ""omavalitsusvalimine"": 1,
    ""konfliktikolle"": 1,
    ""metallilagu"": 0,
    ""elektrienergeetika"": 1
}"
"neitsi
jalakäijasild
tööriistatera
patarei
teave
mardipäev
saateansambel
äärejoon
paadinina
Lublino",gpt-35-turbo,nonsense_words,"{
    ""neitsi"": 1,
    ""jalakäijasild"": 1,
    ""tööriistatera"": 1,
    ""patarei"": 1,
    ""teave"": 1,
    ""mardipäev"": 1,
    ""saateansambel"": 1,
    ""äärejoon"": 1,
    ""paadinina"": 1,
    ""Lublino"": 0
}"
"turvaraja
vannitoauks
MTÜ
laevavrakk
kanada
A-kategooria
talasso
Ristna
maapind
eraelu",gpt-35-turbo,nonsense_words,"{
    ""turvaraja"": 1,
    ""vannitoauks"": 0,
    ""MTÜ"": 1,
    ""laevavrakk"": 1,
    ""kanada"": 1,
    ""A-kategooria"": 0,
    ""talasso"": 0,
    ""Ristna"": 1,
    ""maapind"": 1,
    ""eraelu"": 1
}"
"taliolümpia
peksmine
uks
surnuaiavõte
Novatourss
em
söögikoht
laulukool
allikas
kiirendamine",gpt-35-turbo,nonsense_words,"{
  ""taliolümpia"": 1,
  ""peksmine"": 1,
  ""uks"": 1,
  ""surnuaiavõte"": 1,
  ""Novatourss"": 0,
  ""em"":0,
  ""söögikoht"": 1,
  ""laulukool"": 1,
  ""allikas"": 1,
  ""kiirendamine"": 1
}"
"tagasistumine
Oslo
äratõukepakk
kontoriruum
komsomoli-koosolek
psühhoteraapia
tõusuund
Kristiine
hõimurahvas
pere",gpt-35-turbo,nonsense_words,"```json
{
  ""tagasistumine"": 1,
  ""Oslo"": 1,
  ""äratõukepakk"": 0,
  ""kontoriruum"": 1,
  ""komsomoli-koosolek"": 1,
  ""psühhoteraapia"": 1,
  ""tõusuund"": 1,
  ""Kristiine"": 1,
  ""hõimurahvas"": 1,
  ""pere"": 1
}
```  "
"sõja-aasta
escape
tootmishoone
õppepolk
vms
kriisitendents
vanglakamber
püsitöö
Surnumeri
kehava",gpt-35-turbo,nonsense_words,"{
    ""sõja-aasta"": 1,
    ""escape"": 0,
    ""tootmishoone"": 1,
    ""õppepolk"": 0,
    ""vms"": 0,
    ""kriisitendents"": 0,
    ""vanglakamber"": 1,
    ""püsitöö"": 1,
    ""Surnumeri"": 1,
    ""kehava"": 0
}"
"tehnikaülikool
vahetusmeestepink
raatus
vändra
Taimõr
Donetsk
Rhodose
rambivalgus
intiimsuhe
võrkpallur",gpt-35-turbo,nonsense_words,"{
    ""tehnikaülikool"": 1,
    ""vahetusmeestepink"": 0,
    ""raatus"": 0,
    ""vändra"": 1,
    ""Taimõr"": 0,
    ""Donetsk"": 0,
    ""Rhodose"": 0,
    ""rambivalgus"": 0,
    ""intiimsuhe"": 1,
    ""võrkpallur"": 1
}"
"linnamisjon
olukord
keemialabor
primary
kuut
kergejõustiklane
dollari-korrespondentkonto
Ameerika-turnee
Haider
novembris-detsember",gpt-35-turbo,nonsense_words,"```json
{""linnamisjon"": 1}
{""olukord"": 1}
{""keemialabor"": 1}
{""primary"": 0}
{""kuut"": 1}
{""kergejõustiklane"": 1}
{""dollari-korrespondentkonto"": 0}
{""Ameerika-turnee"": 0}
{""Haider"": 1}
{""novembris-detsember"": 0}
```"
"sektsioon
teatrikirjatsura
erikool
millea
põllumajandusülikool
Sci-Fi
suusapäev
Peterhofi
sõidukirool
pühapäeval-esmaspäev",gpt-35-turbo,nonsense_words,"```json
{
    ""sektsioon"": 1,
    ""teatrikirjatsura"": 0,
    ""erikool"": 1,
    ""millea"": 0,
    ""põllumajandusülikool"": 1,
    ""Sci-Fi"": 0,
    ""suusapäev"": 1,
    ""Peterhofi"": 0,
    ""sõidukirool"": 0,
    ""pühapäeval-esmaspäev"": 0
}
```"
"Pala
kodustaadion
Tashkent
battle
tardumus
naftariik
Aleksanderplats
reisibüroo
polikliinik
motodoktor",gpt-35-turbo,nonsense_words,"{
    ""Pala"": 1,
    ""kodustaadion"": 0,
    ""Tashkent"": 1,
    ""battle"": 0,
    ""tardumus"": 1,
    ""naftariik"": 1,
    ""Aleksanderplats"": 0,
    ""reisibüroo"": 1,
    ""polikliinik"": 1,
    ""motodoktor"": 0
}"
"taandumine
kõrvalkabiin
lemmikloomapood
jooksulint
kinnisvaraotsing
veerandfinaalgrupp
megailu
kodakondsuseksam
karistusseadustik
võidutee",gpt-35-turbo,nonsense_words,"{
    ""taandumine"": 1,
    ""kõrvalkabiin"": 0,
    ""lemmikloomapood"": 1,
    ""jooksulint"": 1,
    ""kinnisvaraotsing"": 1,
    ""veerandfinaalgrupp"": 1,
    ""megailu"": 1,
    ""kodakondsuseksam"": 1,
    ""karistusseadustik"": 1,
    ""võidutee"": 1
}"
"püssirohu-tünn
BBV
olümpiapoodium
põhiklass
Ju
FS
lasteaeg
habemik
politseiparkla
linnavaraamet",gpt-35-turbo,nonsense_words,"{
    ""püssirohu-tünn"": 1,
    ""BBV"": 0,
    ""olümpiapoodium"": 1,
    ""põhiklass"": 1,
    ""Ju"": 0,
    ""FS"": 0,
    ""lasteaeg"": 1,
    ""habemik"": 1,
    ""politseiparkla"": 1,
    ""linnavaraamet"": 1
}"
"riigieksam
klassiruum
trummel
lennusadam
löss
noortemaja
üleviimine
ehitusteaduskond
Lääne-Ukraina
akse",gpt-35-turbo,nonsense_words,"{
    ""riigieksam"": 1,
    ""klassiruum"": 1,
    ""trummel"": 1,
    ""lennusadam"": 1,
    ""löss"": 1,
    ""noortemaja"": 1,
    ""üleviimine"": 1,
    ""ehitusteaduskond"": 1,
    ""Lääne-Ukraina"": 1,
    ""akse"": 0
}"
"lastemängu-jaam
skeem
pära
Häädemeeste
Liivimaa
RAM
taanlane
teevabrik
C-sektor
pingutus",gpt-35-turbo,nonsense_words,"```json
{
    ""lastemängu-jaam"": 0,
    ""skeem"": 1,
    ""pära"": 1,
    ""Häädemeeste"": 1,
    ""Liivimaa"": 1,
    ""RAM"": 1,
    ""taanlane"": 1,
    ""teevabrik"": 1,
    ""C-sektor"": 0,
    ""pingutus"": 1
}
```"
"detsember
hariduskontseptsioon
ühistransport
Walther
ümbris
Wyonk
kooliharidus
joobeseisund
erifont
Ani",gpt-35-turbo,nonsense_words,"```json
{
    ""detsember"": 1,
    ""hariduskontseptsioon"": 1,
    ""ühistransport"": 1,
    ""Walther"": 0,
    ""ümbris"": 1,
    ""Wyonk"": 0,
    ""kooliharidus"": 1,
    ""joobeseisund"": 1,
    ""erifont"": 1,
    ""Ani"": 0
}
```"
"seaduseelnõu
põliskoht
mänguminut
seksiäri
stabilisaator
alkoholiravi
Fertilitas
osoonikiht
iluviga
sagin",gpt-35-turbo,nonsense_words,"{
    ""seaduseelnõu"": 1,
    ""põliskoht"": 1,
    ""mänguminut"": 0,
    ""seksiäri"": 0,
    ""stabilisaator"": 1,
    ""alkoholiravi"": 1,
    ""Fertilitas"": 0,
    ""osoonikiht"": 1,
    ""iluviga"": 1,
    ""sagin"": 1
}"
"f
Mexico
egiptus
vöörikamorka
mujalt-Eesti
formeeritav
peterburi
võistluskeskus
papi
põhja-osa",gpt-35-turbo,nonsense_words,"```json
{
    ""f"": 0,
    ""Mexico"": 1,
    ""egiptus"": 0,
    ""vöörikamorka"": 0,
    ""mujalt-Eesti"": 0,
    ""formeeritav"": 1,
    ""peterburi"": 1,
    ""võistluskeskus"": 1,
    ""papi"": 1,
    ""põhja-osa"": 1
}
```"
"tugitool
Marlboro
jätkumine
peotantsuring
raviseanss
kanuumatk
vitt
Pallas
EADS
Frasureig",gpt-35-turbo,nonsense_words,FAIL
"territoorumi
hommikukohv
hingevahe
isetegevusring
muulane
politseiandmed
Patarei
LP
jalgpallimuru
kontserdipilet",gpt-35-turbo,nonsense_words,"{
  ""territoorumi"": 0,
  ""hommikukohv"": 1,
  ""hingevahe"": 1,
  ""isetegevusring"": 1,
  ""muulane"": 1,
  ""politseiandmed"": 1,
  ""Patarei"": 1,
  ""LP"": 0,
  ""jalgpallimuru"": 1,
  ""kontserdipilet"": 1
}"
"eskalaator
Denver
munakivi
Jäääära
mustmägi
Inturisti
3Dmark01SE
solidool
märgmõõtur
töölaud",gpt-35-turbo,nonsense_words,"```json
{""eskalaator"":1}
{""Denver"":0}
{""munakivi"":1}
{""Jäääära"":0}
{""mustmägi"":1}
{""Inturisti"":0}
{""3Dmark01SE"":0}
{""solidool"":0}
{""märgmõõtur"":1}
{""töölaud"":1}
```"
"maailmasõda
hoiatus
likvidaator
Zavodi
Vana-Kreeka
ravi
raudteejama
parteistaap
keskagentuur
maksuprobleem",gpt-35-turbo,nonsense_words,"{
    ""maailmasõda"": 1,
    ""hoiatus"": 1,
    ""likvidaator"": 1,
    ""Zavodi"": 0,
    ""Vana-Kreeka"": 1,
    ""ravi"": 1,
    ""raudteejama"": 0,
    ""parteistaap"": 0,
    ""keskagentuur"": 0,
    ""maksuprobleem"": 1
}"
"vahepia
Holmenkollen
Guildfort
viimasepea
karaokeõhtu
omavoliline
Rate.ee
ainsamask
dennis
linnateater",gpt-35-turbo,nonsense_words,"{
    ""vahepia"": 0,
    ""Holmenkollen"": 0,
    ""Guildfort"": 0,
    ""viimasepea"": 1,
    ""karaokeõhtu"": 1,
    ""omavoliline"": 1,
    ""Rate.ee"": 0,
    ""ainsamask"": 0,
    ""dennis"": 0,
    ""linnateater"": 1
}"
"koorijuhtimine
NIX
Bologna
Ero
vaevama
kontekst
sõjaväeosa
mäestik
sulatali
Tšehhi",gpt-35-turbo,nonsense_words,"{
    ""koorijuhtimine"": 1,
    ""NIX"": 0,
    ""Bologna"": 1,
    ""Ero"": 0,
    ""vaevama"": 1,
    ""kontekst"": 1,
    ""sõjaväeosa"": 1,
    ""mäestik"": 1,
    ""sulatali"": 1,
    ""Tšehhi"": 1
}"
"turvamine
õppekülastus
Kristin
kindlustatu
rokk-kontsert
taktimõõt
elementaarkool
turnee
palgihunnik
suraka",gpt-35-turbo,nonsense_words,"{
    ""turvamine"": 1,
    ""õppekülastus"": 1,
    ""Kristin"": 1,
    ""kindlustatu"": 1,
    ""rokk-kontsert"": 0,
    ""taktimõõt"": 1,
    ""elementaarkool"": 1,
    ""turnee"": 1,
    ""palgihunnik"": 1,
    ""suraka"": 0
}"
"vanus
eriõppus
Acapulco
dikteerimine
valitus
blizzconi
õppelaenupirukas
kontrollmäng
uuenemine
Siiri",gpt-35-turbo,nonsense_words,"{
    ""vanus"": 1,
    ""eriõppus"": 1,
    ""Acapulco"": 0,
    ""dikteerimine"": 1,
    ""valitus"": 1,
    ""blizzconi"": 0,
    ""õppelaenupirukas"": 0,
    ""kontrollmäng"": 1,
    ""uuenemine"": 1,
    ""Siiri"": 1
}"
"taksofirma
kriisipiirkond
staap
Hiiumaa
jopestiil
isakodu
kiiljaht
takt
mäetipp
libedarada",gpt-35-turbo,nonsense_words,"{
  ""taksofirma"": 1,
  ""kriisipiirkond"": 1,
  ""staap"": 1,
  ""Hiiumaa"": 1,
  ""jopestiil"": 0,
  ""isakodu"": 1,
  ""kiiljaht"": 0,
  ""takt"": 1,
  ""mäetipp"": 1,
  ""libedarada"": 1
}"
"veinipiirkond
Skopje
jaanik
juveelipood
baariretk
kõrgushüppepaik
pühapaik
päävitam
imavere
taasühinemiskõnelus",gpt-35-turbo,nonsense_words,"```json
{
    ""veinipiirkond"": 1,
    ""Skopje"": 1,
    ""jaanik"": 0,
    ""juveelipood"": 1,
    ""baariretk"": 1,
    ""kõrgushüppepaik"": 1,
    ""pühapaik"": 1,
    ""päävitam"": 0,
    ""imavere"": 0,
    ""taasühinemiskõnelus"": 1
}
```"
"ispelli-sõnastik
Rovajärv
süüdistus
käekõrv
lahingutegevus
kuluaar
rkkk
olümpiafinaal
või
tekstiiliettevõte",gpt-35-turbo,nonsense_words,"```json
{
    ""ispelli-sõnastik"": 0,
    ""Rovajärv"": 1,
    ""süüdistus"": 1,
    ""käekõrv"": 0,
    ""lahingutegevus"": 1,
    ""kuluaar"": 1,
    ""rkkk"": 0,
    ""olümpiafinaal"": 1,
    ""või"": 1,
    ""tekstiiliettevõte"": 1
}
```"
"loss
Kivilinn
Montenegro
Laura
trahvioht
asendamine
kuupind
xxx
kullo
oode",gpt-35-turbo,nonsense_words,FAIL
"kombinesoon
lastehommik
nelipühikirik
Hiirelõks
rivaal
laristamine
win
priisaun
kontserdireis
haigla",gpt-35-turbo,nonsense_words,"{
    ""kombinesoon"": 1,
    ""lastehommik"": 1,
    ""nelipühikirik"": 1,
    ""Hiirelõks"": 1,
    ""rivaal"": 1,
    ""laristamine"": 1,
    ""win"": 0,
    ""priisaun"": 1,
    ""kontserdireis"": 1,
    ""haigla"": 1
}"
"pronksikoht
pöördtool
Macau
tagavedru
radiaator
välisväljak
korraldamine
omanikfirma
Herakleitos
Harri",gpt-35-turbo,nonsense_words,"{
  ""pronksikoht"": 1,
  ""pöördtool"": 1,
  ""Macau"": 0,
  ""tagavedru"": 1,
  ""radiaator"": 1,
  ""välisväljak"": 1,
  ""korraldamine"": 1,
  ""omanikfirma"": 1,
  ""Herakleitos"": 0,
  ""Harri"": 1
}"
"Gilde
büst
padi
pensioniskeem
kuuldemäng
paadipära
relvastusinspektor
Põhja-Aafrika
kallaletung
aolinn",gpt-35-turbo,nonsense_words,"```json
{
    ""Gilde"": 1,
    ""büst"": 1,
    ""padi"": 1,
    ""pensioniskeem"": 1,
    ""kuuldemäng"": 1,
    ""paadipära"": 1,
    ""relvastusinspektor"": 1,
    ""Põhja-Aafrika"": 1,
    ""kallaletung"": 1,
    ""aolinn"": 0
}
```"
"juunis-juuli
laskmistrenn
graafik
sõidurada
ooteruum
autonäitus
ovaalsaal
softivahetus
Elbrus
dj",gpt-35-turbo,nonsense_words,"{
    ""juunis-juuli"": 0,
    ""laskmistrenn"": 1,
    ""graafik"": 1,
    ""sõidurada"": 1,
    ""ooteruum"": 1,
    ""autonäitus"": 1,
    ""ovaalsaal"": 1,
    ""softivahetus"": 0,
    ""Elbrus"": 1,
    ""dj"": 1
}"
energiasüsteem,gpt-35-turbo,nonsense_words,"{
    ""energiasüsteem"": 1
}"
"Nõugaste
turbaauk
lillepaviljon
transpordikomisjon
turismihooaeg
tsiviilvorm
villipubi
Svalbard
proua
rumm",gpt-35-turbo,institutions,"{
    ""Nõugaste"": 1,
    ""turbaauk"": 0,
    ""lillepaviljon"": 1,
    ""transpordikomisjon"": 1,
    ""turismihooaeg"": 1,
    ""tsiviilvorm"": 0,
    ""villipubi"": 1,
    ""Svalbard"": 0,
    ""proua"": 0,
    ""rumm"": 0
}"
"aedik
sekretär
toosama
veevärk
ranne
kiire
luukontroll
kalastusvöönd
ristilöömine
ravikindlustusnõukogu",gpt-35-turbo,institutions,"{
    ""aedik"": 0,
    ""sekretär"": 1,
    ""toosama"": 0,
    ""veevärk"": 1,
    ""ranne"": 0,
    ""kiire"": 0,
    ""luukontroll"": 0,
    ""kalastusvöönd"": 1,
    ""ristilöömine"": 0,
    ""ravikindlustusnõukogu"": 1
}"
"keep
Lembit
revüüteater
fonoteek
Varasem
KaksPoissiTallinn
arhitektuuriinstituut
inlite
vangistusülem
uhu",gpt-35-turbo,institutions,"{
    ""keep"": 0,
    ""Lembit"": 0,
    ""revüüteater"": 1,
    ""fonoteek"": 0,
    ""Varasem"": 0,
    ""KaksPoissiTallinn"": 0,
    ""arhitektuuriinstituut"": 1,
    ""inlite"": 0,
    ""vangistusülem"": 1,
    ""uhu"": 0
}"
"advokaadibüroo
masšuud
töökäsi
puiatu
Sopot
P70
7000rpm
nägemiskontroll
Hebroni
dopinguäri",gpt-35-turbo,institutions,"{
  ""advokaadibüroo"": 1,
  ""masšuud"": 0,
  ""töökäsi"": 0,
  ""puiatu"": 0,
  ""Sopot"": 1,
  ""P70"": 0,
  ""7000rpm"": 0,
  ""nägemiskontroll"": 0,
  ""Hebroni"": 0,
  ""dopinguäri"": 1
}"
"potilill
shamaanipaar
aastapäevanäitus
kaitsepolitseiamet
telefoniputka
jooksutund
õhtune
stamp
mudel
kurus",gpt-35-turbo,institutions,"{
    ""potilill"": 0,
    ""shamaanipaar"": 0,
    ""aastapäevanäitus"": 1,
    ""kaitsepolitseiamet"": 1,
    ""telefoniputka"": 1,
    ""jooksutund"": 0,
    ""õhtune"": 0,
    ""stamp"": 0,
    ""mudel"": 0,
    ""kurus"": 0
}"
"ribi
Darwin
ususeminar
modelliamet
maailm
kalarand
soomaa
lumelaud
papademo
luure",gpt-35-turbo,institutions,"```json
{
    ""ribi"": 0,
    ""Darwin"": 1,
    ""ususeminar"": 0,
    ""modelliamet"": 0,
    ""maailm"": 0,
    ""kalarand"": 0,
    ""soomaa"": 1,
    ""lumelaud"": 0,
    ""papademo"": 0,
    ""luure"": 1
}
```"
"veefestival
taimima
alavesi
järgmine
VAAP
metsasügavus
läbiotsimine
ametitool
kaVenemaa
Nagano-võistkond",gpt-35-turbo,institutions,"```json
{
    ""veefestival"": 1,
    ""taimima"": 0,
    ""alavesi"": 0,
    ""järgmine"": 0,
    ""VAAP"": 0,
    ""metsasügavus"": 0,
    ""läbiotsimine"": 0,
    ""ametitool"": 1,
    ""kaVenemaa"": 0,
    ""Nagano-võistkond"": 0
}
```"
"kohtla-järv
missugune
latter
finantseerimine
kabinetiistung
näevi
läbirääkimi
leivatootmine
kruupink
Kansas",gpt-35-turbo,institutions,"```json
{
    ""kohtla-järv"": 1,
    ""missugune"": 0,
    ""latter"": 0,
    ""finantseerimine"": 1,
    ""kabinetiistung"": 1,
    ""näevi"": 0,
    ""läbirääkimi"": 0,
    ""leivatootmine"": 1,
    ""kruupink"": 0,
    ""Kansas"": 1
}
```"
"sünd
valitsemiskuu
teoloogiaseminar
härrasrahvas
soosaar
parlament
kilja
pasteerim
kassaruum
Firenighti",gpt-35-turbo,institutions,"{
  ""sünd"": 0,
  ""valitsemiskuu"": 1,
  ""teoloogiaseminar"": 1,
  ""härrasrahvas"": 1,
  ""soosaar"": 0,
  ""parlament"": 1,
  ""kilja"": 0,
  ""pasteerim"": 0,
  ""kassaruum"": 1,
  ""Firenighti"": 0
}"
"ravimine
linnarahvas
videomakk
messikeskus
puue
kukke
taevaskoda
modem
ID
tuur",gpt-35-turbo,institutions,"```json
{
  ""ravimine"": 0,
  ""linnarahvas"": 0,
  ""videomakk"": 0,
  ""messikeskus"": 1,
  ""puue"": 1,
  ""kukke"": 0,
  ""taevaskoda"": 1,
  ""modem"": 0,
  ""ID"": 1,
  ""tuur"": 0
}
```"
"põhivorm
peasaal
zoloogia
biokeskus
sõjaretk
ravivõimlem
kuulirahe
muuseumiöö
jääpank
Williams",gpt-35-turbo,institutions,"```json
{
    ""põhivorm"": 0,
    ""peasaal"": 0,
    ""zoloogia"": 0,
    ""biokeskus"": 1,
    ""sõjaretk"": 0,
    ""ravivõimlem"": 0,
    ""kuulirahe"": 0,
    ""muuseumiöö"": 1,
    ""jääpank"": 0,
    ""Williams"": 0
}
```"
"taastamine
element
vaegarenguala
lihas
spagaat
politseiaed
tlns
heliagedus
vokaalstuudio
võõrusetendus",gpt-35-turbo,institutions,"{
    ""taastamine"": 0,
    ""element"": 0,
    ""vaegarenguala"": 1,
    ""lihas"": 0,
    ""spagaat"": 0,
    ""politseiaed"": 1,
    ""tlns"": 0,
    ""heliagedus"": 0,
    ""vokaalstuudio"": 1,
    ""võõrusetendus"": 0
}"
"arvutimonitor
ootepink
mihklikuu
moenädal
tantsumaraton
rahvusooper
luurekeskus
järvesuu
KHK
kambja",gpt-35-turbo,institutions,"```json
{""arvutimonitor"": 0}
{""ootepink"": 0}
{""mihklikuu"": 0}
{""moenädal"": 0}
{""tantsumaraton"": 0}
{""rahvusooper"": 1}
{""luurekeskus"": 1}
{""järvesuu"": 0}
{""KHK"": 1}
{""kambja"": 0}
```"
